Year,Month,Industry_Section,Occupation_Group,Number_of_Vacancies
2016,June,K: Financing and insurance,Professionals,711
2016,June,K: Financing and insurance,Associate_Professionals,2336
2016,June,K: Financing and insurance,Clerical_Support_Workers,1002
2016,June,K: Financing and insurance,Service_Sales_Workers,74
2016,June,K: Financing and insurance,Craft_Related_Workers,2
2016,June,K: Financing and insurance,Plant_Machine_Operators,24
2016,June,K: Financing and insurance,Skilled_Agricultural_Fishery,0
2016,June,K: Financing and insurance,Elementary_Occupations,57
2016,June,K: Financing and insurance,Total,5231
2016,June,L: Real estate,Managers,137
2016,June,L: Real estate,Professionals,95
2016,June,L: Real estate,Associate_Professionals,1041
2016,June,L: Real estate,Clerical_Support_Workers,394
2016,June,L: Real estate,Service_Sales_Workers,1838
2016,June,L: Real estate,Craft_Related_Workers,206
2016,June,L: Real estate,Plant_Machine_Operators,11
2016,June,L: Real estate,Skilled_Agricultural_Fishery,4
2016,June,L: Real estate,Elementary_Occupations,272
2016,June,L: Real estate,Total,3998
2016,June,M & N: Professional and business services,Managers,375
2016,June,M & N: Professional and business services,Professionals,1183
2016,June,M & N: Professional and business services,Associate_Professionals,1780
2016,June,M & N: Professional and business services,Clerical_Support_Workers,1156
2016,June,M & N: Professional and business services,Service_Sales_Workers,2267
2016,June,M & N: Professional and business services,Craft_Related_Workers,159
2016,June,M & N: Professional and business services,Plant_Machine_Operators,76
2016,June,M & N: Professional and business services,Skilled_Agricultural_Fishery,3
2016,June,M & N: Professional and business services,Elementary_Occupations,1790
2016,June,M & N: Professional and business services,Total,8789
2016,June,P - S: Social and personal services,Managers,360
2016,June,P - S: Social and personal services,Professionals,2488
2016,June,P - S: Social and personal services,Associate_Professionals,2186
2016,June,P - S: Social and personal services,Clerical_Support_Workers,1681
2016,June,P - S: Social and personal services,Service_Sales_Workers,5119
2016,June,P - S: Social and personal services,Craft_Related_Workers,673
2016,June,P - S: Social and personal services,Plant_Machine_Operators,114
2016,June,P - S: Social and personal services,Skilled_Agricultural_Fishery,2
2016,June,P - S: Social and personal services,Elementary_Occupations,1641
2016,June,P - S: Social and personal services,Total,14264
2016,June,All industry sections covered,Managers,3036
2016,June,All industry sections covered,Professionals,6519
2016,June,All industry sections covered,Associate_Professionals,11525
2016,June,All industry sections covered,Clerical_Support_Workers,7596
2016,June,All industry sections covered,Service_Sales_Workers,26533
2016,June,All industry sections covered,Craft_Related_Workers,2858
2016,June,All industry sections covered,Plant_Machine_Operators,1779
2016,June,All industry sections covered,Skilled_Agricultural_Fishery,9
2016,June,All industry sections covered,Elementary_Occupations,8344
2016,June,All industry sections covered,Total,68199
2016,September,Manufacturing,Managers,30
2016,September,Manufacturing,Professionals,54
2016,September,Manufacturing,Associate_Professionals,169
2016,September,Manufacturing,Clerical_Support_Workers,120
2016,September,Manufacturing,Service_Sales_Workers,187
2016,September,Manufacturing,Craft_Related_Workers,560
2016,September,Manufacturing,Plant_Machine_Operators,488
2016,September,Manufacturing,Skilled_Agricultural_Fishery,0
2016,September,Manufacturing,Elementary_Occupations,491
2016,September,Manufacturing,Total,2099
2016,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Managers,7
2016,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Professionals,13
2016,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Associate_Professionals,57
2016,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Clerical_Support_Workers,6
2016,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Service_Sales_Workers,2
2016,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Craft_Related_Workers,44
2016,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Plant_Machine_Operators,9
2016,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Skilled_Agricultural_Fishery,0
2016,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Elementary_Occupations,58
2016,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Total,196
2016,September,Construction Sites (Manual Workers),Managers,NA
2016,September,Construction Sites (Manual Workers),Professionals,NA
2016,September,Construction Sites (Manual Workers),Associate_Professionals,NA
2016,September,Construction Sites (Manual Workers),Clerical_Support_Workers,NA
2016,September,Construction Sites (Manual Workers),Service_Sales_Workers,NA
2016,September,Construction Sites (Manual Workers),Craft_Related_Workers,415
2016,September,Construction Sites (Manual Workers),Plant_Machine_Operators,80
2016,September,Construction Sites (Manual Workers),Skilled_Agricultural_Fishery,NA
2016,September,Construction Sites (Manual Workers),Elementary_Occupations,97
2016,September,Construction Sites (Manual Workers),Total,592
2016,September,"G: Import/export, wholesale and retail trades",Managers,683
2016,September,"G: Import/export, wholesale and retail trades",Professionals,599
2016,September,"G: Import/export, wholesale and retail trades",Associate_Professionals,2351
2016,September,"G: Import/export, wholesale and retail trades",Clerical_Support_Workers,2138
2016,September,"G: Import/export, wholesale and retail trades",Service_Sales_Workers,7219
2016,September,"G: Import/export, wholesale and retail trades",Craft_Related_Workers,709
2016,September,"G: Import/export, wholesale and retail trades",Plant_Machine_Operators,177
2016,September,"G: Import/export, wholesale and retail trades",Skilled_Agricultural_Fishery,0
2016,September,"G: Import/export, wholesale and retail trades",Elementary_Occupations,1434
2016,September,"G: Import/export, wholesale and retail trades",Total,15310
2016,September,G45-46: Import/export trade and wholesale,Managers,516
2016,September,G45-46: Import/export trade and wholesale,Professionals,519
2016,September,G45-46: Import/export trade and wholesale,Associate_Professionals,1835
2016,September,G45-46: Import/export trade and wholesale,Clerical_Support_Workers,1551
2016,September,G45-46: Import/export trade and wholesale,Service_Sales_Workers,1160
2016,September,G45-46: Import/export trade and wholesale,Craft_Related_Workers,357
2016,September,G45-46: Import/export trade and wholesale,Plant_Machine_Operators,163
2016,September,G45-46: Import/export trade and wholesale,Skilled_Agricultural_Fishery,0
2016,September,G45-46: Import/export trade and wholesale,Elementary_Occupations,930
2016,September,G45-46: Import/export trade and wholesale,Total,7031
2016,September,G47: Retail,Managers,167
2016,September,G47: Retail,Professionals,80
2016,September,G47: Retail,Associate_Professionals,516
2016,September,G47: Retail,Clerical_Support_Workers,587
2016,September,G47: Retail,Service_Sales_Workers,6059
2016,September,G47: Retail,Craft_Related_Workers,352
2016,September,G47: Retail,Plant_Machine_Operators,14
2016,September,G47: Retail,Skilled_Agricultural_Fishery,0
2016,September,G47: Retail,Elementary_Occupations,504
2016,September,G47: Retail,Total,8279
2016,September,"H: Transportation, storage, postal and courier services",Managers,89
2016,September,"H: Transportation, storage, postal and courier services",Professionals,134
2016,September,"H: Transportation, storage, postal and courier services",Associate_Professionals,248
2016,September,"H: Transportation, storage, postal and courier services",Clerical_Support_Workers,778
2016,September,"H: Transportation, storage, postal and courier services",Service_Sales_Workers,300
2016,September,"H: Transportation, storage, postal and courier services",Craft_Related_Workers,160
2016,September,"H: Transportation, storage, postal and courier services",Plant_Machine_Operators,862
2016,September,"H: Transportation, storage, postal and courier services",Skilled_Agricultural_Fishery,0
2016,September,"H: Transportation, storage, postal and courier services",Elementary_Occupations,635
2016,September,"H: Transportation, storage, postal and courier services",Total,3206
2016,September,I: Accommodation and food services,Managers,86
2016,September,I: Accommodation and food services,Professionals,7
2016,September,I: Accommodation and food services,Associate_Professionals,100
2016,September,I: Accommodation and food services,Clerical_Support_Workers,342
2016,September,I: Accommodation and food services,Service_Sales_Workers,10596
2016,September,I: Accommodation and food services,Craft_Related_Workers,146
2016,September,I: Accommodation and food services,Plant_Machine_Operators,36
2016,September,I: Accommodation and food services,Skilled_Agricultural_Fishery,0
2016,September,I: Accommodation and food services,Elementary_Occupations,1912
2016,September,I: Accommodation and food services,Total,13225
2016,September,J: Information and communications,Managers,209
2016,September,J: Information and communications,Professionals,1131
2016,September,J: Information and communications,Associate_Professionals,1029
2016,September,J: Information and communications,Clerical_Support_Workers,129
2016,September,J: Information and communications,Service_Sales_Workers,166
2016,September,J: Information and communications,Craft_Related_Workers,134
2016,September,J: Information and communications,Plant_Machine_Operators,8
2016,September,J: Information and communications,Skilled_Agricultural_Fishery,0
2016,September,J: Information and communications,Elementary_Occupations,24
2016,September,J: Information and communications,Total,2830
2016,September,K: Financing and insurance,Managers,1186
2016,September,K: Financing and insurance,Professionals,831
